frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
98,bus,0.74,1,1310,224,1463,380,,,,,,
99,car,0.16,2,1273,305,1311,355,,,,,,
99,person,0.82,3,0,234,71,490,,,,,,
99,car,0.72,4,1446,320,1514,380,,,,,,
99,bus,0.71,1,1310,225,1462,380,,,,,,
100,car,0.12,2,1273,304,1312,354,,,,,,
100,person,0.82,3,0,236,76,491,,,,,,
100,car,0.71,4,1443,320,1515,380,,,,,,
100,bus,0.78,1,1309,226,1460,380,,,,,,
101,car,0.19,2,1269,308,1307,350,,,,,,
101,person,0.83,3,0,235,77,493,,,,,,
101,car,0.66,4,1438,320,1516,381,,,,,,
101,bus,0.8,1,1308,226,1459,379,,,,,,
102,car,0.16,2,1268,310,1303,347,,,,,,
102,person,0.86,3,0,233,78,496,,,,,,
102,car,0.69,4,1436,320,1516,381,,,,,,
102,bus,0.69,1,1308,227,1458,379,,,,,,
103,car,0.2,2,1267,311,1302,347,,,,,,
103,person,0.85,3,0,231,82,494,,,,,,
103,car,0.69,4,1435,320,1517,382,,,,,,
103,bus,0.78,1,1308,228,1457,379,,,,,,
104,car,0.28,2,1267,311,1301,346,,,,,,
104,person,0.88,3,0,231,89,494,,,,,,
104,car,0.72,4,1435,320,1518,382,,,,,,
104,bus,0.76,1,1309,229,1456,379,,,,,,
105,car,0.29,2,1266,310,1301,348,,,,,,
105,person,0.83,3,2,232,96,491,,,,,,
105,car,0.73,4,1436,320,1519,382,,,,,,
105,bus,0.63,1,1309,229,1456,379,,,,,,
106,car,0.3,2,1264,310,1301,348,,,,,,
106,person,0.86,3,9,230,104,492,,,,,,
106,car,0.73,4,1435,320,1519,382,,,,,,
106,bus,0.77,1,1308,229,1453,379,,,,,,
107,car,0.33,2,1263,311,1300,347,,,,,,
107,person,0.88,3,19,229,114,491,,,,,,
107,car,0.74,4,1434,320,1519,382,,,,,,
107,bus,0.75,1,1308,230,1450,379,,,,,,
108,car,0.4,2,1262,312,1298,347,,,,,,
108,person,0.88,3,27,229,131,492,,,,,,
108,car,0.73,4,1433,320,1520,381,,,,,,
108,bus,0.64,1,1308,232,1446,378,,,,,,
109,car,0.42,2,1262,313,1298,348,,,,,,
109,person,0.85,3,30,229,147,491,,,,,,
109,car,0.73,4,1433,320,1519,381,,,,,,
109,bus,0.66,1,1307,232,1445,378,,,,,,
110,car,0.46,2,1262,312,1298,347,,,,,,
110,person,0.86,3,34,230,156,490,,,,,,
110,car,0.74,4,1431,320,1518,381,,,,,,
110,bus,0.76,1,1304,232,1445,378,,,,,,
111,car,0.54,2,1262,312,1298,347,,,,,,
111,person,0.87,3,38,232,163,488,,,,,,
111,car,0.76,4,1431,321,1518,381,,,,,,
111,bus,0.75,1,1303,233,1443,377,,,,,,
112,car,0.51,2,1262,313,1298,348,,,,,,
112,person,0.86,3,40,234,164,486,,,,,,
112,car,0.76,4,1430,321,1518,381,,,,,,
112,bus,0.69,1,1301,233,1440,377,,,,,,
113,car,0.51,2,1262,312,1296,348,,,,,,
113,person,0.85,3,40,239,168,487,,,,,,
113,car,0.77,4,1428,321,1517,381,,,,,,
113,bus,0.6,1,1298,233,1437,377,,,,,,
114,car,0.52,2,1262,312,1296,348,,,,,,
114,person,0.85,3,45,241,169,488,,,,,,
114,car,0.78,4,1428,321,1517,382,,,,,,
114,bus,0.51,1,1297,234,1435,377,,,,,,
115,car,0.47,2,1261,312,1294,347,,,,,,
115,person,0.83,3,51,240,170,490,,,,,,
115,car,0.8,4,1425,320,1517,382,,,,,,
115,bus,0.28,1,1294,235,1434,377,,,,,,
116,car,0.44,2,1262,311,1294,347,,,,,,
116,person,0.84,3,61,240,171,488,,,,,,
